S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
G11	9.05419729438881	8.78135971352466	8.90959311598834	8.87313646883346	8.7367401554532	8.54959216744175	8.6499746511581	9.07387377650238	8.58345891013077	8.77741971551583	8.91647664443772	8.74517009086102	8.71664800788143	8.60214209069798	9.05120894091477	8.44584255388934	8.66817586897014	8.77445763956529	9.2749604721406	8.87620995751375
G12	10.1651582453839	11.1021069384113	9.73216742566338	10.1268335095626	10.1645298665069	9.90237511448603	10.072534599723	10.5635776349049	10.9341331315823	9.67277890037074	10.3264294871223	11.2571520889474	9.8369971089196	10.5474729648907	9.65910396347366	9.2045711442492	10.8600782182123	10.2285782212827	10.8744435016546	10.5889019864092
G13	8.17467605968824	10.1011878152597	8.14542271960022	8.83541884047548	7.79863380155554	7.25738784269265	6.82718389581953	8.35469016870116	7.72451385311995	6.86727873970966	9.5031300561522	7.70701394843505	7.87375169060862	8.33739890252674	8.4520352735462	5.7292808460274	7.22062016744785	8.08401109845503	8.31038556769876	8.58383495471543
G14	9.29714555193039	9.85486838326024	9.66515823444083	9.41002727888457	10.1303131455435	9.80960737378898	9.8219333869805	10.2441259432837	10.0552824355012	10.0742752872543	9.4718783965684	9.8786640428019	9.69383539248252	10.1221809012598	9.78119576159075	9.98441845880114	9.83146559900125	10.1647812509022	9.84862294042934	9.45697038112101
G15	8.36018867006271	8.98811658476014	8.50898318485542	8.2460279805281	8.54341854992942	8.43754402631547	7.86727873970966	7.28540221886225	8.34961297182452	8.64565843240871	8.35974956032233	8.23457795978457	8.16037568743582	8.67030217007852	8.25219234012239	7.40002551791402	7.91528186586766	7.99604972751976	8.12153351734003	7.34872815423108
G16	7.24982454861618	8.43379405875492	8.63807383718072	7.990954860397	8.71046207397916	8.02014657311178	8.79571500650173	8.39917109381982	8.23792694662626	8.01010845347429	7.80413102118332	8.13391281423904	7.90568784852686	8.60288440871842	8.73335434061383	8.47004872601133	8.56224242422107	7.45450493755737	7.5298209465287	7.74214098549815
G17	10.8000100714444	11.0922285843868	11.0409745988173	10.9869086246977	10.5339137011626	10.5494959075558	10.1979538276101	11.3406846543634	11.1057775865655	10.4965542248298	11.0590740146636	10.7689286427944	10.3466245349814	11.0695840278198	10.7322522376937	10.2231570402689	10.5800700907811	10.6465587101545	10.9848456497555	10.9233274854192
G18	8.6375305515253	8.26772305162742	8.83652380965103	8.67047922046114	8.2531383696913	8.33158878453407	7.58044701959866	8.64295422348033	8.88432317717332	8.35160182951378	8.93649071771147	8.39596248909992	8.61783475018439	8.97154355395077	8.84219317853094	7.5702352149746	8.25029841790633	7.74617838097141	8.42647443351082	8.62296694479051
G19	11.8499914431793	11.8951586961134	12.0242046921198	11.7444975057482	12.0540276673365	11.9054998286857	11.8645730817736	10.8294056244043	10.7688459597534	11.625160880138	11.5344487983768	11.5873556139883	11.8585638629724	11.906853024936	11.4997960694054	10.845568456153	11.7225087172296	11.6839595677832	12.1038451056614	11.2806547931989
G20	13.9211900902045	13.930386229194	13.7093854197695	13.6084858564953	13.5769212462261	12.9699800268807	12.7042278838969	13.5711482343331	13.3139742044034	13.2509497341411	13.4905375402838	13.4413102119815	13.3145549225388	13.5905168782162	13.3304687665903	12.3139033691245	13.4868852888072	13.010982591624	13.5281244119055	13.097340845405
G21	13.5587794290405	12.7383245249604	13.3860376052073	13.2693166487681	13.232765669711	12.8876204623224	13.1640426845559	12.6581668442196	12.7535301627812	12.9177636576112	13.2910987354839	13.2622857431178	13.2611252823423	13.2436946643214	13.0577717829705	13.5351416975381	13.0470216380465	13.1737395892824	13.1514447159591	12.8617072865859
G22	12.002744707118	12.6757806535735	12.8349252772926	12.7029951161407	12.752777855719	12.7669636392449	12.693878940939	12.5493033685136	13.0229399223694	12.7955120929526	12.6363527302817	12.8634700372831	12.6101251385515	12.8332656670873	12.714395790573	12.7466822618919	12.8429788317883	12.1504137039514	12.3930149860874	12.6048080178419
G23	14.3287029732264	13.8688997021797	14.5037015336962	14.5995758331423	14.1631543327738	13.7347202033373	14.350780376932	14.4966228777848	14.2656956171705	13.6792491618471	14.1783614050186	14.0684592109809	14.4341264807232	14.3956144614578	13.916989722087	14.1545333385065	13.6994423185811	14.5344670368295	14.6386791333196	13.5446384859473
G24	14.3545662110375	13.940992568603	14.4506699997271	14.4928671348242	14.2715140932693	14.0400328080091	14.5446807424702	14.6640972352004	14.9928940918956	13.9074822046786	14.2270367637955	14.6862871273501	14.3584108232598	14.6730716253471	13.7914579920915	14.479925486	14.084750267013	14.289248032178	14.35258833487	13.6232413692356
G25	13.8068617291103	13.4215389068483	14.4386294363037	14.1558696908435	14.0308653897488	13.669028980731	14.1704493232957	13.2878133646679	13.673143416743	13.6751190388253	14.1509610251522	13.3357253069164	14.0739908953484	13.9694764621198	13.4837276210681	14.0020941911089	13.4499739858104	13.5485570369252	14.2827626678061	13.1929400324318
G26	14.354476679434	14.0672830916968	14.1954183482973	14.1828986498169	14.2391584341764	14.0074740966651	14.1956567194135	13.080167968814	13.3079692068057	13.6842883921635	14.0192779715461	13.8273030037693	14.2541428468557	14.6988511423597	13.5449765034804	13.8120268497716	13.7287177145394	14.3448922835463	14.8017437186557	13.5414717641055
G27	15.4880566478656	15.0460198212185	15.3656389582345	15.4839920734979	15.310279048835	14.8925902479783	15.2889165272469	16.4950133550125	16.4416603570751	15.2404000524037	15.3339449817521	16.1052619656459	15.2339566456931	15.4570088702661	14.7872394037645	15.2647064837211	15.219524006585	15.3425400232533	15.2697220771692	15.4616904643724
G28	13.7021402113722	14.1836198752093	13.9471163781153	13.6336991114453	13.9922037055344	13.5385648375668	13.7921497223797	13.5741559223162	13.2882316563	13.6103097296806	13.8680508537452	13.9506561313462	14.1377116390155	14.0337155030823	13.4092848517198	12.7895336449704	13.3299364533124	13.8710677850093	14.1430882030791	13.1002188194933
G29	13.0382502850702	12.7953497415622	12.595933440653	12.4787443442887	12.795816452575	12.6889496281197	12.7932171842917	12.6300623115086	12.8145023584607	12.5895575227735	12.5794338000073	12.7187683115379	12.9446022627223	12.7900633509775	12.405646743481	13.064776440712	12.5027323730015	12.9685588029979	13.0183914588691	11.8080793079898
G30	13.6033365715422	13.5057123280149	13.6462436768438	13.6611991224904	13.4930423285182	13.3950119074495	13.6138239893077	13.8654626435069	13.9336998745997	12.9065148448469	13.4731222633943	12.7639177701589	13.7589830949576	13.498313206087	13.1109073776413	12.9612868936461	13.0720153343607	13.2820314176223	13.9395883964077	12.5456884955602
G31	14.8946614755088	14.7122367986821	14.9867220112748	14.5501816191399	14.4431507647293	14.4507666417751	15.1512147848136	15.7251452137765	15.8290190514961	14.5721672876437	14.8196502231341	14.9817322691196	15.0960685966118	14.9409329420179	14.0481036710929	14.8065747944185	14.1446741735637	14.5144983240385	15.1319975908044	14.1964330748055
G32	13.379121106844	13.0578056220436	13.0991669690165	13.1228118210058	13.6191195114532	13.1783847492837	13.0745596231105	13.1539478002457	13.4407653728671	13.3131806505494	13.1519995712361	13.4088737009053	13.2615220005228	13.0460837877627	13.1386717821651	13.5349107681253	13.1877077539014	13.5425361713104	13.1383838063088	12.7389999934104
G33	7.70043971814109	5.16188768237689	4.56071495447448	5.04001567884788	6.68650052718322	6.90086680798075	8.60733031374961	8.55612281784117	7.82273014794452	4.70597790168252	6.877744249949	7.48139582415413	6.39059890555246	4.33628338786443	6.48864353985378	7.05419729438881	6.36806987653208	6.876516946565	7.27239650903748	6.9188632372746
G34	13.9358786681892	13.5008294338939	13.9342068644952	13.8340710140432	13.4192821098166	13.2489949026466	13.8182176632114	14.4236247828165	14.5273487119252	12.9924692778495	13.7879943569189	13.5394435892282	14.0366587230666	14.1126105478834	13.0667871541077	13.6118144198153	13.2181999436947	13.5365264983	14.1251995366579	13.0583046561987
G35	11.8454116414745	12.050256801599	11.3902764555513	11.3503314867529	11.568478696338	11.3818673588704	11.2079294455117	10.16691625157	10.3839202486216	11.4656174185836	11.3297963382207	11.7113228192114	11.6049238160425	11.5854789982759	10.7221244369139	11.0617761975867	11.3601337886536	11.7509162999781	12.0239622194536	10.8976185993275
