GSM146300	GSM146307	GSM146308	GSM146309	GSM146310	GSM146311	GSM146312	GSM146313	GSM146314	GSM146315	GSM146334	GSM146335
ESRRA	5.21334728173344	5.06824086131282	4.96347412397489	4.59693514238723	4.98868468677217	4.84297883178833	4.67525138605026	4.71699089440494	4.60288440871842	4.53915881110803	4.5909612413426	4.88508622529017
CYP2A6	3.29278174922785	3.5298209465287	5.16188768237689	3.54843662469604	3.05311133645956	2.8972404255748	3.27798474729977	4.31831684133498	3.12101540096137	4.03121873061072	3.71699089440494	3.79701297783614
GAS6	4.59395128394841	4.08321336824898	4.80477637795583	5.22496636500027	4.38543103719352	4.5909612413426	4.5077946401987	5.00674683244058	4.79441586635011	4.01346225980656	4.91886323727459	4.50143914515887
MMP14	2.15380533607904	1.58496250072116	2.44625622988956	2.93545974780529	2.10433665981474	1.37851162325373	1.23266075679027	0.807354922057604	1.60880924267552	1.65535182861255	2.63226821549951	1.10433665981474
TRADD	6.75355105460065	6.56071495447448	6.03562390973072	5.94485844580754	6.61618123133188	6.43295940727611	6.12928301694497	5.71424551766612	6.29462074889163	6.34163000932991	5.90929308582382	6.16591193893569
FNTB	4.08321336824898	4.08321336824898	4.80992886572143	4.55765515472542	4.24031432933371	4.04875931191986	3.14567745519564	3.36457243229586	4.21723071622067	4.18189764310839	3.04439411935845	4.64673869830785
PLD1	3.38543103719352	3.5298209465287	1.63226821549951	0.84799690655495	2.6667565918848	2.99095486039699	2.4594316186373	1.10433665981474	2.6667565918848	0.963474123974886	2.67807190511264	2.81762325751143
DTX2P1-UPK3BP1-PMS2P11	6.57818396809009	5.97498811199193	7.01792190799726	6.85112436288675	5.9898202201176	6.4797802640291	6.60954813899943	6.7488637145357	6.7839804136838	6.82908844400489	6.8923910259134	6.69278983497265
BAD	5.61323695471633	5.58496250072116	5.73876783680019	5.78920757534734	5.86913111964429	6.15279185163912	5.19377174339668	5.51096191927738	5.70182625841205	5.48058827023386	5.67383905599044	5.42961596420174
PRPF8	9.24341203232109	9.15658875278909	9.33158878453407	8.97699364608239	8.94865924556015	8.95710204156229	9.00786824333334	8.92866641230495	9.00168966840421	9.07146236255662	8.96434086779242	9.31809083756842
CAPNS1	8.89390821507509	8.98811658476014	8.50858711208948	8.6560672737256	9.26115467261557	9.50521609609692	9.12360412414095	9.08931805695308	8.82400405093315	8.95884267524324	8.43170652396602	8.66533591718518
RPL35	12.0446331825353	12.1109073776413	12.4714720035965	12.6520158572159	12.2147440946202	12.1637754503972	12.3795137487671	12.2658201266535	12.3014390347757	12.1422028082206	12.4923289068475	12.2811476307826
RPL28	11.8662357298479	11.7428778116464	12.1167663101203	12.0734721539765	11.6706341217242	11.7595969524079	11.8728864600278	11.9321962936231	11.9140113285413	11.8632957952441	12.0783009416359	12.0685095946732
EIF4G2	10.5524769815221	10.6298574689098	9.87375169060862	10.2235190867907	10.4667392654837	10.4283078243293	10.4992479613825	10.4985500680489	10.4507473138834	10.4584066132365	10.2200154920373	10.1807172703102
EIF3D	10.3425191896606	10.3473999095085	10.1138723673074	10.3797032618009	10.4356702609366	10.3573320648294	10.4697435551924	10.3613955331659	10.6821167649501	10.610563503925	10.0886557537505	10.2201364473961
PARK7	10.2737955992143	10.3942483109201	10.0416591516372	10.4092848517198	10.3034382957387	10.3266541884764	10.2231570402689	10.2314612098343	10.4820011930871	10.2922065807631	10.4520352735462	10.4534764246166
SRP14	10.760969383257	10.952377251968	11.2235190867907	11.4910012540704	10.9888976673657	11.0201465731118	10.8712122080834	10.7358098482164	11.0667619323869	11.0244471240406	11.1889596708066	11.0411115353692
GDI2	10.2014500822635	10.2314612098343	9.61434176271485	9.86727873970966	9.29324171895624	9.35325711906802	9.93058951287493	9.82654848729091	10.0404952185036	9.93354313257971	10.1773572441124	10.2203178614222
RPL11	12.4461011152896	12.5011405432659	12.8609511621729	13.1089164402179	12.5175955785186	12.5806589987896	12.8010414129528	12.6733532480343	12.7005914359038	12.663913842116	12.8965405426916	12.7887794970966
ARF3	6.36457243229586	6.56833618213375	6.48542682717024	6.35579154675365	6.876516946565	6.67101024127845	6.86294724802092	6.56224242422107	6.70321146739115	6.70043971814109	6.19377174339668	6.43128865429159
RPL21	12.5333540690614	12.4840928045312	13.0819161151419	13.0404780948317	12.4286218860911	12.6250010184055	12.7203939076877	12.6276478729405	12.5845397742325	12.5485570369252	12.9115792414021	12.8683981702916
RPL24	12.2308460552402	12.3205044219729	12.7230742770409	13.0313221310796	12.3640799235055	12.2981628309673	12.6691729628248	12.5374974952261	12.4993974660415	12.412133161717	12.7554509448736	12.5944295827652
HNRNPC	10.0587358856534	10.2076854688416	9.97971099070501	10.4500771201737	9.91826695909256	9.70234586765264	10.1090470777007	10.0378900851425	10.2158969643545	10.1245736990162	10.2236397487772	10.2712879329298
SEPT2	9.37188552287395	9.50987395121089	9.59273732643275	9.74348803978918	9.33024465862235	9.25006150271721	8.9990134454472	9.07988473625027	9.62186872471143	9.44821957265412	9.82591279878497	9.88172579064223
HNRNPA1	10.382407876295	10.4729953873298	10.7562227128473	10.9777807723301	10.7119250354631	10.7282606727091	10.6667565918848	10.7556387102205	10.5784670437392	10.5579422867874	10.4853261892405	10.5357613779867
RPS27A	12.7815646272443	12.9023185814411	13.2805243080056	13.3939534813193	12.8744627138934	12.896445937877	12.9989958222691	12.8839033286195	12.9876193119243	12.9757763329095	13.2353261757567	13.1575522079251
RPS13	12.4906002130196	12.5410482019519	13.0024986004197	13.0484017265882	12.4622210679175	12.6073996724209	12.8125583898531	12.7638970279239	12.6738390559904	12.6710544841918	12.973553878808	12.744812819062
FAU	12.3402673889836	12.3930418087109	12.7728506388538	12.9499543449676	12.4300343185735	12.532599438673	12.616548843779	12.5667675960329	12.6452531240647	12.5292353183328	12.7019128729494	12.6239272020599
TARDBP	8.27146302790437	8.24365004189697	8.92496092138698	8.88218449290063	8.58383495471543	8.59488440282247	8.07173049656741	8.12231034319074	8.36632221424582	8.4743143533158	8.60214209069798	8.64781815592715
