,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
Q5I2Z0,10.89326661,12.01327702,13.61195573,8.074483964,9.24392898,3680.70503,4359.740218,2407.666923,5729.174574,7767.168737,1167.089293,1829.440554,1716.175942,2020.112405,3504.184616
G3V9P0,5874.156069,6915.685399,8346.674076,7078.21251,12322.61452,2202.077122,2714.642754,2016.830609,16355.18872,3310.061769,6984.843348,9645.436801,14045.09206,5576.140744,13080.77388
G3V9R9,75862.02836,122127.4543,72543.41252,109526.1033,76749.86723,83087.97898,60623.03096,69089.45525,119791.2759,109735.4916,52114.12652,61307.72781,76377.02546,55537.09272,73909.19436
G3V9S0,31107.44549,37389.33323,35118.72374,34359.96684,28580.79564,26791.02218,40121.04321,28324.38132,28379.84365,34791.80799,21769.29411,7333.889965,15057.16899,24176.14265,25060.59485
Q4G022,7474.349833,8324.84834,10080.61677,11473.35076,8352.433827,6005.702717,8188.823139,1872.314787,9430.275841,11600.13651,5026.918415,3233.041872,2379.054018,2810.198721,3175.367718
G3V9U0,136846.001,119165.3013,151094.3364,126283.2633,82826.56227,178105.7495,177609.0691,105652.7237,257175.1331,288051.5301,472775.6396,397736.3856,496742.395,575781.5464,572209.4421
G3V9U2,8615892.73,9900097.304,9604995.523,13292975.08,9449645.404,8530321.426,9983121.194,8946839.17,14607482.32,14652351.29,11135597.32,8702466.26,9292706.403,12443741.53,10694860.51
H6X2X0,34960.75487,28054.27089,31938.12636,47147.77919,34086.63299,35153.53538,20103.42113,21514,35681.88603,38362.76035,6356.003888,32175.20924,16644.85066,7454.254514,4198.078728
I6L9G6,4917.946644,5407.784039,7438.843988,8050.706391,6323.389086,5008.846841,5443.751641,1509.247468,7750.52069,5303.562288,8419.472882,7500.325235,6813.566729,8816.309696,5841.31278
I7FKL4,7060.654247,6514.176187,31200.11541,20348.48241,10001.75223,649.1225315,3573.232082,983.1025427,1400.611374,2530.118253,9311.903296,2824.860574,6978.506096,12311.71244,13578.67673
J7NUQ1,1565.952179,1372.668019,3471.77974,1404.922012,2620.011572,4819.802331,4240.070465,1689.633468,3576.886362,5671.244019,2002.106837,742.9033051,1274.970088,1387.938289,1018.151545
M0R3V4,588.2718956,16717.61502,15546.11139,11939.1363,19423.9964,12739.68486,19911.86972,18960.33204,27168.9522,22778.79874,4633.766443,8297.359871,13485.75685,3355.651203,12882.07662
M0R439,2618.430754,1844.182773,2563.438921,3494.895239,2288.485559,2054.006133,5034.210712,3438.720494,5348.443653,3780.035357,77.0367356,71.40520526,76.1362128,75.86023018,49.78008941
Q5BJ93,3899602.607,4321318.847,3924417.945,5368077.202,3804472.623,4137243.368,4307163.341,3597143.32,5915089.216,6434463.122,3099986.755,2246778.628,2817097.074,4054909.678,3665925.729
M0R5N4,5071.222734,5258.420757,2297.089158,8530.648064,3890.733126,6408.775603,6828.508767,3595.613095,5531.844106,7978.236708,2316.069427,2940.974801,3584.401744,4644.325252,3873.977988
M0R608,3891.200252,2996.454564,3239.140296,4461.23223,6899.741091,5627.197295,6934.261121,6084.876787,8820.073523,6076.375396,25376.38357,2553.683329,2436.333981,11181.38177,5382.066979
