GSM591473	GSM591474	GSM591475	GSM591476	GSM591477	GSM591478	GSM591479	GSM591480	GSM591481	GSM591482	GSM591483	GSM591484	GSM591485	GSM591486	GSM591487	GSM591488	GSM591489	GSM591490
DDR1	2.26095	2.3527	2.501565	2.207275	2.18415	2.56154	2.31231	2.21474	2.44108	2.392	2.21173	2.19264	2.24795	2.27823	2.46286	2.312795	2.385405	2.30242
WBP11	3.58747	3.6421	4.16384	3.65486	3.59505	3.53404	3.65867	3.9192	4.08848	4.34864	3.98347	3.84483	3.83819	3.89997	3.71206	4.02571	3.59837	4.21616
GJA1	4.751385	5.072745	4.52168	5.67563	5.33561	4.917735	4.67167	4.93393	4.85436	4.70698	4.77514	4.915795	4.71191	5.178355	5.116815	5.195815	4.98539	5.12201
SLC16A1	5.45058	5.53115	5.55419	5.553035	5.57164	5.53259	5.444145	5.489415	5.301115	5.04126	5.489325	5.34111	5.526545	5.512185	5.39429	5.508375	5.38005	5.384025
CX3CL1	1.79397	1.88451	1.969535	1.791965	1.834325	1.78877	2.00452	1.832725	1.8871	1.996135	1.840155	1.870785	1.706515	1.91262	1.82446	1.98279	2.025555	2.04855
CLPS	1.708575	1.574775	1.34544	1.626645	1.489375	1.512755	1.49705	1.597535	1.69284	1.74145	1.59242	1.61138	1.569985	1.469765	1.621175	1.63383	1.462885	1.41757
PLAT	1.968905	1.826355	2.00373	2.041075	1.929775	1.927125	1.930755	1.844125	2.130255	1.96687	1.92097	1.930745	1.8592	2.27233	1.83624	2.03739	2.09827	2.19484
SRSF2	6.9496	7.098625	7.052675	6.775685	7.295525	6.997855	6.883435	7.12141	6.601475	7.080785	7.338085	7.19704	7.1545	7.18969	6.627935	6.71765	6.68232	7.018695
TPBPA	1.70645	1.8016	1.95277	1.67002	2.02506	1.73997	1.89058	1.69498	2.09329	1.64543	1.83437	2.1722	1.99167	1.70569	1.74054	2.11707	1.93997	1.751
UHRF1	1.794005	1.79699	1.63048	1.65889	1.892435	1.66323	1.698785	1.731505	1.698965	1.830325	2.002995	1.610415	2.14931	2.095695	1.81545	1.592415	1.559565	1.7352
GSN	7.061725	6.29435	6.731195	8.79784	6.917365	7.03866	7.643675	6.024895	6.36023	6.10579	6.472575	5.952185	6.38193	7.122135	6.747595	7.27463	7.676545	6.936725
API5	7.35223	7.14888	7.3572	7.32021	7.37742	7.27603	7.43599	7.46902	7.40442	7.34504	7.59899	7.45348	7.47604	7.43229	7.28862	7.24524	7.28907	7.43132
ATP6V1B2	4.90041	4.6833	4.9386	4.884545	5.154885	4.8252	4.76251	4.97341	5.050155	4.893	4.799285	4.763105	4.836055	5.022395	4.89336	4.92878	4.928625	5.06357
TRIM27	4.1067	4.24487	4.471565	4.057315	4.246055	4.17748	4.091435	4.536205	4.03019	4.06036	4.35028	4.142295	4.27766	3.972185	4.20234	4.13801	4.17365	3.94765
CCT7	8.925895	8.960085	8.92318	9.08148	9.049255	8.81028	8.8897	9.011785	8.91788	8.932715	8.933485	8.929575	8.92279	9.076155	8.905855	8.835095	8.955595	8.84659
ANXA6	5.23678	5.511735	5.18819	5.65751	5.229855	5.141035	5.478195	5.40885	5.402105	5.382955	5.319565	5.292415	5.44293	5.487285	5.25496	5.456135	5.407185	5.40622
PPP2R1A	9.11063	9.09721	8.79473	9.30373	9.12815	9.11737	8.99294	8.96001	8.90107	9.02749	9.00009	8.98052	8.96586	9.22406	9.03513	9.05387	9.1196	9.14819
NONO	5.957495	6.17877	5.85432	5.948505	6.35434	6.212775	6.18708	6.122825	6.042965	5.879105	5.834265	6.10339	5.96192	5.628845	5.978575	6.08244	6.142995	5.629005
NPTN	9.17076	9.05943	8.93105	8.87754	9.1012	9.13582	9.23438	9.07447	9.2363	9.10024	9.01301	9.11603	9.08748	9.22707	9.06129	9.18524	9.23298	9.1567
SCD2	2.20595	2.27954	2.2133	4.09925	1.83031	2.02715	2.25553	2.53802	1.97024	2.22737	2.27659	1.91123	2.16985	2.99706	2.12512	2.58848	2.49746	2.25666
CSNK1D	7.32426	7.18931	7.11345	7.30121	7.30959	7.11946	7.10138	7.27794	7.34657	7.07821	7.07837	6.90019	7.07346	7.32351	7.05543	7.12004	7.36133	7.16434
ATP6V1H	2.35246	3.04755	2.03347	2.23115	2.60104	2.51676	1.99796	2.10794	2.35334	1.85366	2.19725	2.13612	2.16564	2.14062	2.3326	2.46839	2.54763	2.26019
SERP1	10.78835	10.68205	10.9099	10.60685	10.97275	10.6945	10.5172	11.1012	10.65455	10.61935	10.63715	10.8524	10.78025	10.6335	10.5001	10.6344	10.71005	10.744
