GSM591473	GSM591474	GSM591475	GSM591476	GSM591477	GSM591478	GSM591479	GSM591480	GSM591481	GSM591482	GSM591483	GSM591484	GSM591485	GSM591486	GSM591487	GSM591488	GSM591489	GSM591490
4732440D04RIK	2.11265	1.92456	1.67791	1.87583	2.16206	2.02396	2.01843	2.44867	2.24608	2.31981	1.85215	2.21818	2.38068	1.63963	2.18212	2.05161	2.01587	2.25557
TMEM52B	1.37306	1.81888	1.91647	1.64451	1.65406	1.68782	1.43302	1.7655	1.60956	1.64029	1.4535	1.79453	1.56996	1.61098	1.6408	1.74634	1.55715	1.40535
CCDC113	1.97573	1.60756	1.92878	1.83618	1.90855	1.61666	1.90921	1.98337	1.79798	1.81972	1.62309	1.59387	2.20236	1.9098	1.49273	1.65981	1.70357	1.66227
B830017H08RIK	2.37613	2.50523	2.52812	2.0377	2.30959	2.25686	1.99637	2.34034	2.29971	2.1914	2.22363	2.09531	2.0302	2.10506	2.54445	2.24243	2.29171	1.89854
GM10664	1.69753	1.644225	1.60761	1.701295	1.731475	1.6645	1.8492	1.62993	1.71066	1.57685	1.559015	1.601475	1.671705	1.74084	1.3253	1.78816	1.629125	1.7331
WFDC15A	2.08207	1.84684	2.13435	2.00702	2.07024	2.34192	1.86078	1.97335	2.12707	2.118	1.99893	1.97454	2.14995	1.87893	2.09785	2.07404	2.24784	1.77838
BE981844	2.02993	2.1919	2.02993	2.02993	1.99249	2.20117	1.92616	2.15317	1.80861	2.18596	1.9537	1.95269	2.02993	2.01224	2.02664	2.10599	1.97759	2.16747
OAZ1	12.2949	12.3935	12.3827	12.2486	12.3455	12.332	12.3142	12.3688	12.4508	12.2873	12.3424	12.4534	12.4278	12.2684	12.3139	12.3504	12.3559	12.334
ANKRD29	1.489155	1.822965	1.74091	1.940245	1.89905	1.72031	1.50442	1.73595	1.75129	1.81198	1.5361	1.702785	1.856495	1.920665	1.562545	1.569285	1.67482	1.949375
HCRTR1	1.16493	1.49173	1.58804	1.94365	1.77701	1.57431	2.02775	1.50701	1.59638	1.75945	1.57619	1.59869	1.9362	1.58948	1.85894	1.64479	1.35106	1.47415
DNAIC2	1.672505	1.733355	1.76121	1.760475	1.58596	1.78938	1.543825	1.790535	1.70551	1.64119	1.873715	1.72955	1.810535	1.79379	1.739025	1.59911	1.804375	1.56334
DSTYK	3.91713	3.838095	3.674325	3.90668	4.076445	4.046595	3.978395	4.144805	4.18876	3.469305	3.80492	4.164275	3.971095	3.651205	3.77308	3.971885	4.20421	3.91899
RNF217	6.28368	6.798215	6.69454	6.310995	6.50941	6.337595	6.355395	6.52943	6.255645	6.209775	6.608995	6.50708	6.51719	6.35958	6.38926	6.28433	6.35022	5.720595
PPP6R1	4.72581	4.37859	4.71992	4.58665	5.06687	4.5668	4.82553	5.016	4.72874	4.72725	5.01414	4.75295	5.05107	4.75748	4.66192	4.17406	4.57227	4.59225
MYO9A	1.88823	2.084615	2.01219	1.890315	1.92536	2.02001	1.83742	2.336855	1.800665	2.056415	2.03326	2.116715	2.040975	2.08035	2.159925	1.936715	1.97998	1.920155
NETO2	1.57118	1.59494	1.56757	1.6063	1.71374	1.64461	1.56583	1.69291	1.67121	1.57047	1.59048	1.60551	1.5533	1.62017	1.6709	1.64542	1.55755	1.61327
GEMIN5	2.64813	2.86488	2.70846	2.51376	2.78433	2.53567	2.87955	2.68367	2.54047	2.73062	2.833	2.57558	2.61159	2.6593	2.65374	2.45989	2.46054	2.68706
SCYL2	3.226245	3.10681	3.10812	3.105695	3.039235	3.348525	3.15709	3.273255	3.197665	3.25155	3.263955	3.04961	2.9698	2.944065	3.332285	3.06518	2.899755	3.03691
KAT6A	1.7911	1.68131	1.86183	2.02129	2.04642	2.03926	1.93485	1.88394	1.65939	1.89306	1.83176	1.93372	1.69136	1.86064	1.887	1.854	1.94292	1.88936
LOC100504348	6.84155	6.98403	6.96534	6.97858	7.30871	7.0625	6.87407	7.15757	7.4228	6.35141	6.7187	7.30461	7.06017	5.67736	7.0334	7.01947	6.71934	6.41021
SULF1	1.77911	1.81999	1.78435	1.68583	1.62826	1.69062	1.61296	1.54939	1.40905	1.43912	1.67998	1.59687	1.58661	1.76008	1.5343	1.70906	1.58082	1.50799
W45978	3.20588	2.78293	3.12405	3.77836	3.25033	3.3034	3.95638	3.25398	3.81808	3.5415	3.56165	3.02485	3.62248	3.6921	2.86825	3.46155	3.5724	3.38885
B3GNT7	1.85823	1.89188	1.77865	1.68044	1.4344	1.90631	1.63319	1.8171	1.6323	1.62378	1.62663	1.62094	1.88915	1.59192	1.76079	1.96132	1.6571	1.96933
2810001A02RIK	7.303205	7.166985	7.396005	7.380025	7.32057	7.35985	7.317265	7.323275	7.2375	7.336135	7.31221	7.235625	7.08556	7.444865	7.42012	7.46203	7.23593	7.33121
STARD9	1.94322	2.02994	1.70078	1.902445	1.90732	2.00614	1.908905	2.04351	1.84156	1.833075	1.71974	2.04609	1.94709	1.972145	2.22323	2.254695	1.722555	1.868385
RNMT	3.110525	2.879265	2.94047	2.98842	2.91522	2.99437	2.817865	2.90989	2.82582	2.55441	2.85397	3.165935	2.921	2.788215	2.94609	2.84691	3.08578	3.159885
GM7072	4.365255	4.55853	4.32484	4.203255	4.176825	4.531155	3.882805	4.641095	4.201195	4.430965	4.403385	4.586985	4.719595	4.824185	4.654345	4.68555	4.49721	4.66503
VPS13D	4.365565	4.49163	4.20052	4.394135	4.45735	4.564305	4.351365	4.2377	4.76549	4.01471	4.27464	4.63662	4.51165	3.99251	4.48167	4.467485	4.37744	4.348665
HSPB6	6.33913	6.11259	6.63131	6.50336	6.61715	6.40903	6.53463	6.40874	6.58853	6.15792	6.46253	6.58658	6.71982	6.2388	6.14777	6.58119	6.46454	6.21718
SYNJ1	3.750565	3.799905	3.390535	3.50927	3.932515	4.081045	3.692865	3.69103	3.79668	3.42808	3.91878	3.93549	3.782055	3.595375	4.08731	3.948195	3.897285	3.605785
PLCH2	1.741525	1.7624	1.91262	1.948605	1.743055	1.873255	1.720795	1.782245	1.72039	1.8355	1.70984	1.801395	1.934485	1.74644	1.726365	1.743995	1.73608	1.88129
PTRH1	1.80963	2.18229	2.06521	2.04338	1.89939	1.77763	2.01988	1.8904	1.82663	1.92027	1.81604	1.91216	1.94257	1.88775	1.76616	2.07649	1.90737	1.86023
TMEM243	3.46887	3.02922	3.28103	3.33319	3.35801	3.41242	3.07851	2.97668	3.45735	3.09072	3.03658	3.02937	2.79961	3.13948	3.36299	3.1006	3.16458	2.70041
BF730541	5.56399	5.7926	5.35203	6.22239	5.50712	5.91017	5.92425	5.49118	5.72021	5.69638	6.17451	5.68511	5.6892	5.65065	6.04449	6.02818	5.81789	5.75007
1810058I24RIK	7.6075	6.88157	6.887295	6.96581	7.092425	7.262515	7.49967	6.74885	7.422	7.46278	7.25717	7.41068	7.280265	7.41671	7.428905	7.512635	7.93543	7.550735
FRRS1L	1.963895	2.10848	1.88246	1.916165	1.980785	1.902805	1.79562	1.81004	1.8561	1.854265	1.934135	1.679425	1.92527	1.909735	1.638905	1.822185	1.78761	1.97706
LOC100504226	3.89236	3.54766	4.59474	4.16264	3.83133	3.77501	3.85312	4.1603	3.94885	3.79504	4.00849	3.8067	3.96423	4.0419	3.57005	3.89329	3.69362	3.9542
UBXN1	9.61076	9.63079	10.0628	9.75842	9.78478	9.78438	9.91832	9.7987	9.49902	9.25014	9.57626	9.59503	9.65975	9.57228	9.73436	9.46047	9.40006	9.47847
CHD4	3.64188	4.51453	3.76587	3.20728	3.79715	4.12825	3.41661	3.373	3.52583	3.2466	3.65285	3.75963	3.52138	2.98621	3.75824	3.75091	3.8618	2.88743
5730559C18RIK	1.74401	1.76402	1.76432	1.731005	1.679715	1.62665	1.62249	1.591935	1.68732	1.783675	1.70694	1.712575	1.66594	1.485575	1.792255	1.657885	1.521385	1.69026
5530601H04RIK	2.55448	2.6469	2.93976	2.82467	2.83777	2.84236	2.40646	2.94637	2.90048	2.8863	2.77294	3.11032	2.84619	3.0023	2.75515	2.84217	2.88153	2.80375
SPRTN	4.68498	4.67829	4.06494	4.66857	4.52185	4.58575	4.38199	4.30376	4.36826	4.72474	4.38921	4.53897	4.62953	4.52992	5.05441	4.61137	4.67457	4.56934
2700094K13RIK	6.72579	6.34981	6.13584	6.30985	6.4018	6.38249	6.89148	6.08846	6.55818	6.88974	7.0794	6.16228	6.4303	7.46246	6.79214	6.46242	6.89805	7.2287
FAM171B	2.38186	2.40966	1.97689	2.02457	2.27179	2.28226	2.33303	2.257785	2.158415	2.10707	2.277185	2.2132	2.200795	2.323675	2.254325	2.284965	2.080065	2.09539
COQ3	5.44267	5.05343	4.974515	5.171895	5.382015	5.352695	5.408415	4.892545	5.282725	5.44657	5.369365	5.4537	5.246205	5.431105	5.55684	5.41468	5.296655	5.300415
CEP78	2.2382	2.35713	2.19195	2.19718	2.47763	2.14796	2.18087	1.86531	2.38035	2.12782	2.29283	1.95778	2.21243	2.18435	2.33263	2.14572	2.79607	2.19949
DZIP1L	2.54491	2.77561	2.64765	2.5236	2.21434	2.02156	2.57629	2.41985	2.57124	2.60387	2.03012	2.43528	2.75915	2.43548	2.50246	2.69665	2.66536	2.3943
FADS6	8.41465	8.55139	7.98063	8.174675	8.36852	8.398445	8.43645	8.44295	8.61805	8.57841	8.379105	8.24993	8.25161	8.39949	8.511825	8.473985	8.597005	8.55694
1436357_AT	5.13933	4.74489	5.33234	5.07859	5.20027	5.35673	5.89148	5.14887	5.60999	5.07092	5.37819	5.38508	5.11176	5.19115	5.51563	5.2689	5.19516	4.97691
VGLL2	1.67494	2.02297	1.74665	1.93047	1.8048	1.9248	1.72913	1.7892	1.95275	2.31974	2.03538	1.8759	1.91326	1.89901	1.96211	1.83267	1.7146	1.74514
2700079J08RIK	8.13658	8.57951	8.02035	7.90977	8.16743	7.85938	7.61588	7.93321	8.02738	7.34941	7.67414	8.20295	7.74678	7.68639	7.8061	8.1995	8.02658	7.45742
2900076A07RIK	2.41616	2.83064	2.68858	2.54864	2.53439	2.25686	2.52569	2.24937	2.341	2.43301	2.37626	2.4416	2.51729	2.13902	2.35394	2.49294	2.55275	2.10307
GUCY2C	2.02217	2.18258	2.19448	1.84581	2.03119	2.21074	2.19137	2.01854	2.0802	2.32953	2.12682	2.29821	1.95509	2.25399	2.12494	1.80661	2.29123	2.70084
MAP3K10	2.83679	3.27355	2.867935	2.874065	2.65969	2.802865	2.61349	2.861945	2.770165	2.83493	2.54344	2.731865	2.728185	2.55087	2.81627	2.774195	2.606505	2.549925
SRBD1	4.39651	4.30514	3.5642	4.470725	4.208515	4.24368	4.61452	4.052525	4.38739	4.58949	4.4533	4.50391	4.08886	4.76845	4.627755	4.174415	4.915105	4.800345
GPR137	3.3543	3.50746	3.59115	3.68063	3.69152	3.29917	3.55857	3.34992	3.44158	3.47924	3.31565	3.58853	3.44546	3.31368	3.27084	2.99132	3.62179	3.33575
LRRFIP2	6.1563	6.2888	5.91758	6.122935	6.116125	5.973075	6.028005	5.94243	5.921095	6.04195	6.0708	6.06202	6.081905	6.01938	6.004625	6.12643	6.078775	5.972625
CRTC3	3.56422	4.00324	4.2193	4.04979	3.967025	3.728165	4.029245	3.69565	3.31783	3.417605	3.77536	3.55941	3.36172	3.652235	3.83154	3.51316	3.57857	3.344185
DLGAP3	1.93128	1.72858	2.00019	1.70596	1.89244	1.90445	1.85368	1.87931	1.57844	2.0163	1.73921	1.72573	1.79492	1.91445	2.01897	1.7191	1.5977	1.91228
ZBTB12	2.50398	2.45531	2.44624	2.29611	2.57302	2.81315	2.43003	2.5953	2.52591	2.2277	2.39912	2.11735	2.37153	2.4503	2.47861	2.36711	2.45524	2.5162
C330006P03RIK	2.2369	2.4358	2.76369	2.42514	2.9243	2.1158	3.0723	3.34094	2.28701	2.43406	3.03961	2.84823	2.76531	3.05326	2.11385	2.23493	2.21367	1.94415
CARD6	5.01067	5.62299	5.17091	5.35282	6.04058	5.53619	5.47705	5.4434	5.3745	5.48429	5.04308	5.59173	5.81147	5.40868	5.70177	5.34787	5.75042	5.24694
WDR60	2.23895	1.9013	2.16704	1.92099	2.19526	2.14833	2.35868	2.03382	1.82734	2.19697	2.43533	2.14646	2.19423	2.04055	2.27493	2.20108	2.17553	2.27532
TIFAB	2.63025	2.40358	2.55916	2.65549	2.560275	2.592965	2.90449	2.847865	2.65878	2.73033	2.621785	2.370685	2.552675	2.554975	2.41594	2.436585	2.550175	2.874345
BB033554	0.940535	1.23525	1.22618	1.37721	1.12973	1.04765	1.58636	1.28693	1.11957	1.35243	1.2773	1.09376	1.27741	1.33945	1.22817	1.28372	1.08476	1.25117
NRK	1.75509	1.80393	1.73149	1.90788	1.70872	1.62307	1.89529	1.68846	1.9314	1.87732	1.82517	1.60996	1.77389	1.69339	1.91666	1.86554	1.58803	1.62841
ANKDD1B	2.33737	2.722	2.4913	2.30539	2.32732	3.03873	2.56149	2.53596	2.65662	2.72351	2.36376	2.24337	2.34949	2.6496	2.28652	2.63408	3.01751	2.82919
LOC100503793	2.20943	1.84333	2.13371	2.01083	2.24469	2.13272	2.29265	2.32475	2.18829	2.56185	1.86837	2.53513	2.28233	2.209	2.3011	2.19519	2.04291	2.22943
FAM171A2	1.27622	1.31845	1.37067	1.36368	1.37551	1.64759	1.43945	1.26353	1.34334	1.43798	1.37821	1.42607	1.61442	1.45365	1.40003	1.41607	1.53332	1.54881
BB327942	1.93079	2.88229	1.86815	2.37499	2.11006	2.45048	2.42578	2.06285	2.2494	2.18598	2.09776	2.25764	2.30223	2.52493	2.3012	2.20717	2.21323	2.32994
AMER3	1.5207	1.53648	1.66964	1.86753	1.50543	1.6092	1.49393	1.96096	1.67415	1.52071	1.61849	1.54397	1.13881	1.43093	1.54503	1.5679	1.50495	1.41178
RPRML	1.71527	1.62426	1.72451	1.64526	1.53394	1.54739	1.70233	1.62837	1.84401	1.59984	1.71406	1.88236	1.585	1.71524	1.70022	1.66163	1.84515	1.81332
ARHGEF33	1.70452	1.84507	1.90954	2.22817	1.68619	1.6663	1.79374	1.77332	1.81843	1.93414	1.61942	1.97577	1.87357	1.77597	1.81515	1.7748	1.76815	1.71612
ATP13A5	1.45914	1.25014	1.33473	1.39458	1.607405	1.39527	1.37338	1.40395	1.369515	1.501975	1.2526	1.354145	1.263367	1.300985	1.294201	1.1002	1.40812	1.479845
BB457668	2.30944	2.12953	2.00137	1.76394	2.2047	1.79157	1.69282	1.91006	1.97443	1.7836	2.46293	2.1	2.0035	1.82939	1.76279	2.00444	2.19235	2.10299
SLC19A3	1.38982	1.363215	1.43319	1.2728905	1.529625	1.50406	1.311725	1.24471	1.476385	1.53801	1.47966	1.465175	1.513625	1.274275	1.485	1.392135	1.625875	1.322895
1700097N02RIK	2.08754	1.61336	1.88333	1.73786	1.98118	1.61523	1.81248	1.88391	2.02213	1.88139	1.84573	1.8221	2.01412	1.91346	1.66578	1.68783	1.70211	1.80929
IPO4	6.73296	6.49382	6.758065	6.89763	6.836115	6.878885	6.91144	6.940415	6.82589	6.8407	6.929405	6.69833	6.85466	6.861875	6.78088	6.666255	6.79606	6.84729
ARPC5L	4.672345	4.733715	4.619865	4.567365	4.727925	4.598315	4.387055	4.596225	4.524725	4.518085	4.392825	4.88747	4.32785	4.563075	4.715275	4.56325	4.594195	4.55284
BC026590	2.42901	2.62368	2.5333	2.05001	2.42705	2.51947	2.60638	2.32502	2.25783	2.33894	2.41766	2.69214	2.259	2.27046	2.38816	2.36654	2.76354	2.40019
THEMIS	2.35679	1.85945	2.07121	1.569955	1.67477	2.049605	2.036255	1.686555	1.76211	2.395455	2.174535	1.94636	1.846625	2.638415	2.15962	2.213065	2.380105	2.297685
1600020E01RIK	5.82884	5.8247	6.31681	5.99495	6.46384	5.2679	6.25752	6.0764	6.36607	6.15872	6.3456	6.17333	6.11249	6.33874	5.57446	5.80687	5.87201	6.20153
KANK4	1.95436	2.13851	1.96874	1.75132	2.04711	1.74956	2.05526	1.89937	1.82931	1.87126	1.82429	1.87659	2.03568	2.00742	1.82766	2.08723	1.72624	2.21176
CC2D2A	2.71258	2.47114	2.52181	2.56245	2.32173	2.73623	2.78827	2.46506	2.56376	2.77199	2.55585	2.47665	2.06753	2.78662	3.53187	2.61007	3.12269	3.38161
B430105G09RIK	1.1946	1.20485	1.1475	1.37709	1.38799	1.15593	1.3373	1.17515	1.38575	1.19209	1.1898	1.12906	1.60062	1.09523	1.20064	1.2906	0.908835	1.24411
1700025G04RIK	2.03431	1.99515	2.02712	1.79631	1.81785	1.86697	1.86657	1.92532	1.81101	1.87704	1.76985	1.87917	1.88931	2.13648	2.13191	2.28276	1.91572	1.83345
B230343J05RIK	1.57158	1.63174	1.27032	1.3579	1.28994	1.7902	1.58397	1.32036	1.67684	1.70937	1.37263	1.36381	1.57266	1.57235	1.37002	1.40018	1.72758	1.51394
BC049762	2.38067	2.06844	2.17175	2.09166	1.99683	2.18801	2.11612	2.04175	2.01144	2.14517	2.13893	2.14515	1.95491	2.1398	2.35927	2.2624	2.17633	2.14163
E2F2	2.19484	1.99895	1.79591	2.05089	1.987555	2.16971	1.615435	2.216325	1.782485	1.78781	1.89391	2.090795	2.0573	1.654355	1.84486	1.764635	1.741765	1.95143
LOC100503057	1.75001	1.95737	1.73369	1.84384	1.58443	1.69798	1.72419	1.79945	1.56657	1.49055	1.40106	1.56939	1.51863	1.70073	1.76078	1.5461	1.56304	1.79654
GM97	2.10502	2.2838	2.04812	1.89765	1.93113	2.13508	1.93651	2.47175	1.8577	2.16865	2.13964	2.0261	2.33761	2.04585	1.84538	2.13605	1.8901	1.82086
DCAF5	3.67637	3.41073	3.7781	3.39037	3.4188	3.52988	3.51426	3.54617	3.30039	3.2599	3.65983	3.50909	3.47062	2.96363	3.89128	3.27346	3.43975	2.77278
1700016G14RIK	1.9938	1.81569	1.76322	2.0739	1.98339	1.89676	1.92344	1.411	1.85925	1.87032	1.66201	1.68734	1.72895	1.80117	1.7621	1.76846	1.67766	2.02484
AV230399	2.57966	2.46278	2.39829	2.16515	2.40756	2.45548	2.17584	2.74175	2.56152	2.0505	2.46957	3.01893	2.83098	2.44252	2.65518	2.73912	2.55424	2.43523
KDELC1	4.73224	5.15326	4.9672	4.757695	5.07913	4.7644	4.566355	4.79525	4.64318	4.658175	4.547235	4.78434	4.749455	4.87491	4.96325	4.713385	4.601175	4.66558
SERTM1	1.6968	1.50918	1.74856	1.87716	1.75671	1.77783	1.57638	2.07029	1.61449	1.72559	1.84628	1.68927	1.63944	1.47113	2.1597	1.64386	1.54517	1.70472
GM996	1.602835	1.680775	1.47067	1.339215	1.46653	1.529935	1.49822	1.599485	1.545975	1.558835	1.54369	1.591025	1.497965	1.58843	1.579335	1.526455	1.48895	1.449945
2310007O11RIK	3.8464	4.52328	4.44011	4.32849	4.51179	4.92963	4.32031	4.16285	4.46774	4.55735	4.51525	4.46369	4.43323	3.86092	4.78278	4.35106	4.18568	4.10581
A630026N12RIK	3.04757	3.04138	2.65083	3.36176	3.3159	3.218	2.83264	3.00683	2.82156	3.404	2.99527	3.02971	3.47974	2.66486	2.83817	2.8501	2.5821	3.06191
PCDH11X	1.7103	1.55355	1.742645	1.72774	1.815495	1.82663	1.868065	1.534315	1.93417	1.756245	1.683115	1.815455	1.72797	1.826125	1.436495	1.503175	1.60294	1.435355
BB144871	1.48835	1.47269	2.37064	6.0289	1.52952	1.66844	1.57576	1.69411	1.70212	1.67614	1.69896	1.74207	1.53481	1.56658	1.56719	1.94004	1.76755	1.86557
SLC38A9	2.55636	2.5894	2.19736	2.43484	2.60129	2.46187	2.27439	2.64291	2.48759	2.22458	2.32427	2.58263	2.46165	2.47598	2.4794	2.35943	2.25481	2.64938
BG073622	2.08188	1.79467	1.816	1.89681	1.97284	1.92853	1.87278	1.8582	1.90368	2.19304	2.16274	1.73461	2.00747	2.10934	1.84538	2.07857	1.85147	1.74268
TMEM194	1.88618	2.24995	2.09035	2.04376	2.34567	2.30645	1.99704	1.9145	2.09422	2.35279	1.91397	2.18171	2.05589	2.30691	2.02642	1.98814	2.21715	2.25196
BQ175922	1.75317	1.7032	1.66691	1.71881	1.62836	1.76897	1.5251	1.84402	1.51211	1.86177	1.73207	1.67224	1.43735	1.6904	1.97089	1.50707	1.51869	1.34991
GM14399	4.43171	4.273	3.28521	4.24186	4.47552	4.59496	4.50963	4.94499	4.55583	4.50908	4.40429	4.38576	4.51735	4.42805	4.60354	4.43521	4.34821	4.30838
AU067666	1.33524	1.61221	1.43094	1.50149	1.40515	1.55369	1.31748	1.539	1.47809	1.31198	1.32182	1.53305	1.28711	1.18115	1.58605	1.58554	1.35926	1.44558
GM17566	6.50093	6.55605	6.53737	6.55817	6.66432	6.70957	6.99308	6.54358	6.52366	6.99648	6.61579	6.45851	6.17999	6.27234	6.7646	6.15322	6.05808	6.27672
KLHL1	1.712545	1.89435	2.01634	1.808255	1.6859	1.90643	1.706315	1.829465	1.913175	1.95038	2.016585	1.70114	1.85745	1.812755	1.752815	1.75838	1.63199	1.66739
D230004N17RIK	1.80461	1.84304	1.95865	1.82046	1.83016	1.69067	1.89508	1.86571	1.83373	2.06189	2.01442	1.95839	1.94429	1.72098	1.93489	2.16147	1.76997	2.12774
ZDHHC8	2.13771	2.34716	2.379575	2.390545	2.19061	2.39704	2.35847	2.335265	2.492375	2.178085	2.27064	2.405075	2.282975	2.275065	2.248635	2.3713	2.376365	2.521235
BRD7	4.986305	4.594225	4.44212	4.6403	4.51013	5.016385	4.646375	4.544035	4.742665	4.621675	4.618415	4.6631	4.61124	4.721755	4.7583	4.632555	4.608385	4.76772
SLFN9	2.4478	2.588375	2.87493	2.47894	2.542765	2.559475	2.55279	2.59249	2.510815	2.512755	2.648905	2.550995	2.80084	2.429425	2.419245	2.59789	2.65485	2.48142
ZFP248	1.86841	2.001425	1.786775	1.956205	1.67487	1.67019	1.6426	1.63249	1.53032	1.74701	1.584895	1.68674	1.798175	1.72453	1.58005	1.811165	1.941415	1.77322
CLEC18A	1.1541	1.68267	1.40791	1.44488	1.39194	1.32133	1.26675	1.26001	1.3489	1.62686	1.41076	1.32391	1.40157	1.51668	1.40574	1.5607	1.44121	1.52056
DAND5	2.50028	2.1501	2.32282	2.31788	2.17706	2.32843	2.65204	2.26805	2.55993	2.66193	2.24888	2.7037	2.41898	2.6797	2.3265	2.48894	2.27754	2.3131
BE651508	2.52018	1.67875	2.33792	2.46981	2.38801	1.99106	2.3111	2.07049	2.15876	2.2721	1.99918	2.29476	2.26147	2.63474	2.59613	1.60796	2.83006	2.21216
FNDC9	1.72356	1.72907	1.24025	1.51621	1.55892	1.73089	1.48612	1.69982	1.59381	1.91356	1.92737	1.81398	1.46477	1.40137	1.50945	2.04729	1.58921	1.46616
BE988514	1.8571	1.76334	1.87118	1.4369	1.87956	1.88291	1.76267	1.529	1.7252	1.61138	1.76662	1.92549	1.59884	2.02992	1.61555	1.75242	1.53925	1.68029
GM11346	2.00409	1.9083	1.84784	1.8649	1.66958	1.70529	1.96986	1.95276	1.78891	1.94076	2.00229	1.76885	1.88437	1.9028	1.76569	1.82582	1.86073	2.00995
LEMD1	1.37551	1.44583	1.54461	1.49219	1.3288	1.50425	1.70428	1.30918	1.29045	1.58232	1.28314	1.35656	1.38138	1.46474	1.39483	1.44029	1.49793	1.36251
CTXN2	2.30921	2.17354	2.37018	2.22295	2.0625	2.28325	2.12473	2.46779	2.20423	2.24554	2.08046	2.18274	2.23138	1.98407	2.45712	2.19075	2.30708	2.11817
TRMT1	5.61427	5.94453	6.17064	6.05998	5.98072	5.82641	6.11469	6.52049	5.99532	5.99758	5.84101	5.73213	5.89221	5.59512	5.85828	5.791	5.27695	5.53731
1700012O15RIK	1.40927	1.58704	1.56642	1.48618	1.41099	1.35727	1.25066	1.85397	1.48553	1.36696	1.27659	1.26954	1.45107	1.2374	1.64251	1.357	1.44294	1.30711
GM19894	2.56109	1.75952	3.68866	2.34862	4.06175	2.0684	1.9982	1.93814	2.16842	2.15021	1.71163	2.03982	1.57679	2.22606	2.1645	2.30388	4.17908	2.47202
GM6030	2.0178	1.83971	1.77292	2.14797	1.74815	1.86028	1.76523	2.0475	1.89846	2.00803	2.01314	1.94729	1.91552	2.01797	1.86482	1.84516	1.98688	2.10762
MTUS1	8.14356	8.08867	8.22457	8.34077	8.34938	8.20415	8.17131	8.05328	8.37911	8.22601	8.13452	8.13519	8.11472	8.05205	8.39982	8.08025	7.95348	8.14658
BC048546	7.54624	7.29747	7.29456	7.74659	7.69315	7.59054	7.84218	7.71336	7.11383	7.99791	7.47342	7.47803	6.8882	7.63469	7.61729	7.36439	7.81112	7.67508
SNHG6	8.3484	8.26925	8.61341	8.57532	8.52279	8.37144	8.93642	8.41306	8.60911	8.33157	8.26251	8.29488	8.27774	8.43642	8.72071	8.30152	8.41026	8.42646
IRAK2	6.13239	6.20941	6.146	6.32432	6.20927	6.25658	6.28502	6.6644	5.80296	5.8838	6.32334	6.41648	6.42465	6.23384	5.748	5.88905	5.82859	5.91695
MLEC	6.698525	6.125195	6.637345	6.493175	6.79504	6.418335	6.41438	6.823905	6.37518	6.448085	6.54974	6.64503	6.643385	7.022855	6.21488	6.587315	6.72505	6.916985
ARL4C	2.48346	2.62851	2.58558	2.44348	2.37156	2.751305	2.65337	2.632845	2.669155	2.521175	2.395105	2.53904	2.475685	2.748365	2.351765	2.5861	2.575925	2.429805
BACH2	3.89796	4.91441	4.03369	4.20541	4.0346	5.07415	3.7355	3.83504	3.34848	3.76747	4.89348	5.24887	4.02959	2.94355	4.26916	3.02424	4.40813	4.2549
H1FX	2.15319	2.11747	2.20962	2.16599	2.2409	2.20722	2.29008	2.26614	2.19833	2.21911	2.09184	2.16143	2.11984	2.18152	2.28423	2.21407	2.1567	2.13982
AHNAK2	1.73308	1.56215	1.81274	1.56791	1.6673	1.65898	1.74145	1.61563	1.41334	1.77724	1.7725	2.01495	1.60381	1.53919	1.70128	2.0666	1.76951	1.62986
SLC36A2	1.23224	1.66092	1.21962	4.55183	1.35861	1.33974	1.07131	1.35911	1.25425	1.39628	1.29359	1.38401	1.27321	1.65804	1.27136	1.38749	0.976975	1.09016
4833438C02RIK	2.52581	2.1908	1.95766	2.04428	2.09654	2.67126	2.78334	2.3748	2.5262	2.32031	2.49206	2.212	2.57499	2.50414	2.2592	2.69308	2.58216	2.54061
GNPTG	6.94962	6.7002	6.92512	6.64149	6.67507	6.92329	7.13979	6.81597	6.90871	7.09022	6.97683	6.82004	6.98438	6.89376	6.92254	6.83128	6.86775	7.2517
1436527_AT	1.64645	1.31264	1.89253	1.49749	1.53892	1.65633	1.39193	1.64038	1.65862	1.63844	1.58663	2.00243	1.57248	1.50491	1.75238	1.47566	1.8021	1.58618
KAZALD1	2.18427	1.91291	1.73781	1.96559	1.76819	1.94651	1.73647	1.84892	1.79966	1.78025	2.00715	1.98118	2.09569	1.66919	1.87957	2.07931	1.83356	2.16812
WFDC17	9.12565	8.75712	8.85816	9.00904	8.69085	9.23296	8.76954	9.20698	8.65539	9.12941	8.96612	8.8393	8.54102	9.64506	8.83049	8.49701	8.72626	8.7815
DCLK3	4.92043	5.40548	4.73024	5.31458	5.59161	4.77767	5.73111	5.62851	5.64154	5.81232	4.54859	4.77158	5.25337	4.9415	4.77989	5.37775	4.7704	5.24473
EXOC3L	2.25727	2.31405	2.54426	2.5073	1.99657	2.51907	2.39472	2.34694	2.33086	2.20391	2.5507	2.32109	2.60828	2.22132	2.57673	2.39333	2.2852	2.26128
ZFP629	2.711395	2.576145	2.53653	2.478445	2.6205	2.605445	2.68974	2.403105	2.62622	2.52294	2.357935	2.566615	2.27176	2.4704	2.771565	2.47813	2.59159	2.551655
